"Product Group","Status","Compliance","Interface","Number of Lines","Direction","C Max (pF)","V(BR) Min (V)","VRWM Max (V)","IR Max (µA)","PPK Max (W)","Package Size (mm)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"ESD8011MUT5G","Active","H Pb   ","USB 3.0, USB 3.1, ","1, ","Bidirectional, ","0.2, ","6.5, ","5.5, ","1, ","3.3, ","0.62 x 0.32 x 0.29, ","X3DFN-2 ","1 ","260 ","0.08 ",
"ESD8104MUTAG","Active","H Pb   ","Display Port, eSATA 3.0, HDMI 1.3/1.4, HDMI 2.0, USB 3.0, USB 3.1, ","4, ","Unidirectional, ","0.37, ","4, ","3.3, ","1, ","-, ","2.50 x 1.00 x 0.50, ","UDFN-10 ","1 ","260 ","0.1548 ",
"SZESD8351MUT5G","Active","H Pb A P ","eSATA 2.0, eSATA 3.0, USB 2.0, ","1, ","Unidirectional, ","0.55, ","5.5, ","3.3, ","0.5, ","-, ","0.62 x 0.32 x 0.29, ","X3DFN-2 ","1 ","260 ","0.0817 ",
"ESD8351XV2T1G","Active","H Pb   ","eSATA 2.0, eSATA 3.0, USB 2.0, ","1, ","Unidirectional, ","0.55, ","5.5, ","3.3, ","0.5, ","-, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0407 ",
"SZESD8351XV2T1G","Active","H Pb A P ","eSATA 2.0, eSATA 3.0, USB 2.0, ","1, ","Unidirectional, ","0.55, ","5.5, ","3.3, ","0.5, ","-, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0645 ",
"ESD8351MUT5G","Active","H Pb   ","eSATA 2.0, eSATA 3.0, USB 2.0, ","1, ","Unidirectional, ","0.55, ","5.5, ","3.3, ","0.5, ","-, ","0.62 x 0.32 x 0.29, ","X3DFN-2 ","1 ","260 ","0.0641 ",
"SZESD8351P2T5G","Active","H Pb A P ","eSATA 2.0, eSATA 3.0, USB 2.0, ","1, ","Unidirectional, ","0.55, ","5.5, ","3.3, ","0.5, ","-, ","1.00 x 0.60 x 0.37, ","SOD-923-2 ","1 ","260 ","0.0645 ",
"ESD8451MUT5G","Active","H Pb   ","eSATA 2.0, eSATA 3.0, USB 2.0, ","1, ","Bidirectional, ","0.3, ","5.5, ","3.3, ","0.5, ","-, ","0.62 x 0.32 x 0.29, ","X3DFN-2 ","1 ","260 ","0.1237 ",
"ESD8472MUT5G","Active","H Pb   ","USB 2.0, USB 3.0, ","1, ","Bidirectional, ","0.3, ","7, ","5.3, ","0.05, ","12.2, ","0.62 x 0.32 x 0.29, ","X3DFN-2 ","1 ","260 ","0.0291 ",
"SZESD8472MUT5G","Active","H Pb A P ","USB 2.0, USB 3.0, ","1, ","Bidirectional, ","0.3, ","7, ","5.3, ","0.05, ","12.2, ","0.62 x 0.32 x 0.29, ","X3DFN-2 ","1 ","260 ","0.0561 ",
"ESD8551N2T5G","Active","H Pb   ","eSATA 2.0, USB 2.0, ","1, ","Bidirectional, ","0.3, ","5.5, ","3.3, ","0.05, ","-, ","1.00 x 0.60 x 0.37, ","X2DFN-2 ","1 ","260 ","0.052 ",
"SZESD8551N2T5G","Active","H Pb A P ","USB 2.0, ","1, ","Bidirectional, ","0.3, ","5.5, ","3.3, ","0.05, ","-, ","1.00 x 0.60 x 0.37, ","X2DFN-2 ","1 ","260 ","0.0572 ",
"SZESD8551MXWT5G","Active","H Pb A P ","USB 2.0, ","1, ","Bidirectional, ","0.3, ","5.5, ","3.3, ","0.05, ","-, ","1.00 x 0.60 x 0.37, ","X2DFNW2 ","1 ","260 ","0.0612 ",
"SZESD8704MTWTAG","Active","H Pb A P ","USB 3.1, ","4, ","Unidirectional, ","0.5, ","5, ","3.3, ","1, ","-, ","2.50 x 1.00 x 0.75, ","WDFNW10 2.5x1.0, 0.5P ","1 ","260 ","0.1195 ",
