"Product Group","Status","Compliance","VZ Typ (V)","P Max (W)","Package Size (mm)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"MMBZ5236BLT1G","Active","H Pb   ","7.5, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"SZMMBZ5232BLT3G","Active","H Pb A P ","5.6, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"SZMMBZ5239BLT1G","Active","H Pb A P ","9.1, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"MMBZ5227BLT1G","Active","H Pb   ","3.6, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"SZMMBZ5232BLT1G","Active","H Pb A P ","5.6, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"MMBZ5245BLT1G","Active","H Pb   ","15, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"SZMMBZ5237BLT1G","Active","H Pb A P ","8.2, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"MMBZ5268BLT1G","Active","H Pb   ","82, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"SZMMBZ5230BLT1G","Active","H Pb A P ","4.7, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"MMBZ5243BLT1G","Active","H Pb   ","13, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"MMBZ5263BLT1G","Active","H Pb   ","56, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"SZMMBZ5228BLT1G","Active","H Pb A P ","3.9, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"MMBZ5234BLT1G","Active","H Pb   ","6.2, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"SZMMBZ5250BLT1G","Active","H Pb A P ","20, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"SZMMBZ5241BLT1G","Active","H Pb A P ","11, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"MMBZ5238BLT1G","Active","H Pb   ","8.7, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"SZMMBZ5234BLT3G","Active","H Pb A P ","6.2, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"MMBZ5247BLT1G","Active","H Pb   ","17, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"SZMMBZ5248BLT3G","Active","H Pb A P ","18, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"MMBZ5250BLT1G","Active","H Pb   ","20, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"SZMMBZ5248BLT1G","Active","H Pb A P ","18, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"SZMMBZ5234BLT1G","Active","H Pb A P ","6.2, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"SZMMBZ5244BLT1G","Active","H Pb A P ","14, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"MMBZ5257BLT1G","Active","H Pb   ","33, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"MMBZ5254BLT1G","Active","H Pb   ","27, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"SZMMBZ5221BLT1G","Active","H Pb A P ","2.4, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"SZMMBZ5235BLT3G","Active","H Pb A P ","6.8, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"MMBZ5248BLT1G","Active","H Pb   ","18, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"SZMMBZ5235BLT1G","Active","H Pb A P ","6.8, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"MMBZ5232BLT1G","Active","H Pb   ","5.6, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"SZMMBZ5268BLT1G","Active","H Pb A P ","82, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"SZMMBZ5252BLT1G","Active","H Pb A P ","24, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
